date,CBOE_Total_PCR,CBOE_Index_PCR,CBOE_ETP_PCR,CBOE_Equity_PCR,CBOE_VIX_PCR,CBOE_SPX_PCR
2025-04-07,1.2,1.58,1.28,0.63,0.78,1.95
2025-04-08,1.23,1.35,1.49,0.77,0.62,1.77
2025-04-09,1.04,1.38,1.11,0.58,1.04,1.5
2025-04-10,1.11,1.17,1.45,0.76,0.6,1.46
2025-04-11,0.78,0.99,0.99,0.43,0.57,1.27
2025-04-14,1.01,1.11,1.25,0.68,0.8,1.25
2025-04-15,1.02,1.09,1.41,0.72,0.67,1.36
2025-04-16,0.95,1.19,0.88,0.72,0.51,1.47
2025-04-17,0.89,1.23,1.11,0.54,0.53,1.36
2025-04-21,1.0,1.19,1.1,0.67,0.62,1.32
2025-04-22,0.87,1.13,0.89,0.54,0.84,1.18
2025-04-23,0.9,1.11,1.06,0.54,0.63,1.2
2025-04-24,0.99,1.21,1.16,0.64,0.52,1.33
2025-04-25,0.81,1.23,0.86,0.46,0.63,1.36
2025-04-28,0.84,0.99,0.95,0.57,0.24,1.16
2025-04-29,0.88,1.04,1.07,0.55,0.52,1.21
2025-04-30,0.83,0.87,0.97,0.67,0.31,1.05
2025-05-01,0.83,1.09,0.9,0.52,0.52,1.19
2025-05-02,0.84,1.2,0.97,0.49,0.78,1.28
2025-05-05,0.92,1.17,0.99,0.6,0.52,1.29
2025-05-06,0.91,1.13,0.89,0.64,0.5,1.23
2025-05-07,0.8,1.09,0.75,0.54,0.53,1.28
2025-05-08,0.81,0.84,1.23,0.54,0.22,1.14
2025-05-09,0.77,1.03,0.88,0.53,0.35,1.24
2025-05-12,0.85,1.17,0.95,0.5,0.92,1.3
2025-05-13,0.79,1.05,0.93,0.55,0.7,1.13
2025-05-14,0.7,0.9,0.96,0.41,0.4,1.08
2025-05-15,0.68,0.82,0.7,0.52,0.25,1.07
2025-05-16,0.69,0.96,0.88,0.43,0.28,1.12
2025-05-19,0.87,1.16,1.02,0.48,0.54,1.21
2025-05-20,0.78,0.92,0.88,0.56,0.28,1.15
2025-05-21,0.89,1.1,1.05,0.55,0.49,1.25
2025-05-22,0.94,1.06,1.09,0.75,0.58,1.18
2025-05-23,0.95,1.25,1.14,0.6,0.65,1.38
2025-05-27,0.88,1.16,1.06,0.52,0.39,1.41
2025-05-28,0.81,1.03,0.9,0.58,0.39,1.15
2025-05-29,0.77,0.91,0.97,0.53,0.15,1.15
2025-05-30,0.88,1.07,1.11,0.57,0.39,1.19
2025-06-02,0.85,1.04,1.01,0.58,0.59,1.13
2025-06-03,0.93,1.06,1.42,0.51,0.43,1.19
2025-06-04,0.85,1.03,1.11,0.52,0.4,1.19
2025-06-05,0.86,1.08,0.91,0.63,0.44,1.23
2025-06-06,0.87,1.18,1.07,0.55,0.39,1.36
2025-06-09,0.79,1.11,0.79,0.52,0.8,1.17
2025-06-10,0.87,1.12,0.96,0.57,0.63,1.28
2025-06-11,0.79,0.98,0.82,0.52,0.36,1.26
2025-06-12,0.87,1.12,0.89,0.58,0.39,1.4
2025-06-13,0.89,1.03,1.06,0.61,0.36,1.4
2025-06-16,0.9,1.06,1.32,0.51,0.37,1.32
2025-06-17,0.94,1.1,1.05,0.61,0.33,1.48
2025-06-18,0.97,1.18,0.66,0.98,0.38,1.45
2025-06-20,0.88,1.21,0.91,0.54,0.53,1.38
2025-06-23,0.95,1.23,1.08,0.54,0.86,1.3
2025-06-24,0.9,1.03,1.26,0.56,0.33,1.24
2025-06-25,0.81,1.02,0.92,0.53,0.54,1.14
2025-06-26,0.77,0.97,0.8,0.53,0.54,1.09
2025-06-27,0.75,0.9,0.87,0.52,0.33,1.13
2025-06-30,0.83,0.99,0.95,0.51,0.83,1.04
2025-07-01,0.86,1.08,1.06,0.51,0.51,1.26
2025-07-02,0.83,0.98,1.15,0.55,0.14,1.26
2025-07-03,0.79,1.01,0.96,0.48,0.41,1.18
2025-07-07,0.92,1.14,1.03,0.58,0.58,1.24
2025-07-08,0.87,1.07,1.02,0.56,0.47,1.25
2025-07-09,0.89,1.1,1.27,0.56,0.93,1.13
2025-07-10,0.77,0.98,0.89,0.52,0.43,1.1
2025-07-11,0.84,1.16,0.94,0.53,0.72,1.27
2025-07-14,0.85,1.15,0.91,0.51,0.66,1.29
2025-07-15,0.83,1.1,0.76,0.57,0.79,1.2
2025-07-16,0.86,1.05,1.03,0.53,0.32,1.27
2025-07-17,0.8,1.03,0.74,0.65,0.52,1.16
2025-07-18,0.74,1.02,0.93,0.48,0.56,1.18
2025-07-21,0.88,1.04,1.5,0.51,0.22,1.25
2025-07-22,0.87,1.18,1.05,0.55,0.69,1.23
2025-07-23,0.81,1.01,0.94,0.55,0.63,1.1
2025-07-24,0.9,1.15,1.23,0.57,0.66,1.27
2025-07-25,0.91,1.16,0.93,0.72,0.56,1.25
